ICP_MS_Sample_Run,Sample_ID,Sample_Location,Date,Be_ugL,B_ugL,Al_ugL,P_ugL,V_ugL,Cr_ugL,Mn_ugL,Fe_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Ga_ugL,As_ugL,Se_ugL,Kr_ugL,Rb_ugL,Sr_ugL,Ag_ugL,Cd_ugL,Sn_ugL,Cs_ugL,Ba_ugL,La_ugL,Ce_ugL,Pr_ugL,Nd_ugL,Sm_ugL,Eu_ugL,Gd_ugL,Dy_ugL,Ho_ugL,Er_ugL,Tm_ugL,Yb_ugL,Lu_ugL,Ti_ugL,Pb_206_ugL,Pb_207_ugL,Pb_208_ugL,Th_ugL,U_ugL,Li_ugL,Mo_ugL
MS38,155928,QG,8/9/17,0.009,10.173,91.077,9.139,0.704,0.182,9.323,120,0.063,0.057,2.003,2.684,0.025,0.025,0.011,,0.765,12.101,0.003,0.031,,0.012,6.304,0.048,0.076,0.014,0.064,0.018,0.007,0.019,0.021,0.005,0.015,0.002,0.017,0.003,0.003,0.069,0.065,0.066,-0.001,0.006,0.166,0.028
MS39,156379,MPR,8/29/17,0.001,13.199,50.634,16.334,1.527,0.211,1.608,37.095,0.025,0.214,2.97,7.126,0.015,0.091,0.1,,0.768,46.261,0.002,0.301,,0.007,30.569,0.019,0.029,0.006,0.03,0.008,0.003,0.007,0.007,0.001,0.004,0.001,0.004,0.001,0.003,0.004,0.004,0.004,-0.001,0.009,0.252,0.143
MS40,156378,QP,8/29/17,0.005,14.42,42.709,9.244,1.694,0.323,2.428,43.297,0.049,0.169,1.475,4.787,0.014,0.039,0.021,,0.304,20.448,0.004,0.145,,0.003,3.787,0.024,0.041,0.009,0.043,0.011,0.004,0.011,0.01,0.002,0.006,0.001,0.005,0.001,0.001,0.002,0.003,0.003,-0.001,0.002,0.109,0.008
MS41,156396,QS,8/29/17,-0.021,12.772,58.381,10.657,0.839,0.251,1.151,42.859,0.033,0.156,1.159,2.319,0.013,0.035,0.021,,0.245,13.86,0.008,0.071,,0.004,2.353,0.037,0.052,0.011,0.042,0.01,0.003,0.009,0.01,0.002,0.005,0.001,0.005,0.001,0.002,0.013,0.013,0.013,0.016,0.007,0.125,0.015
MS42,156380,RI,8/29/17,-0.018,11.27,30.554,13.641,0.522,0.089,48.82,150,0.248,0.096,1.945,8.494,0.012,0.021,0.005,,0.888,18.464,0.009,0.187,,0.015,11.032,0.03,0.059,0.009,0.04,0.011,0.004,0.012,0.013,0.003,0.01,0.001,0.01,0.002,0.006,0.008,0.006,0.008,0.016,0.004,0.139,0.055
MS43,156390,QG,8/29/17,-0.024,12.253,38.481,12.913,0.565,0.065,7.008,65.689,0.037,0.134,1.265,9.168,0.014,0.02,0.017,,0.82,11.995,0.061,0.234,,0.009,10.072,0.04,0.045,0.012,0.056,0.015,0.006,0.017,0.019,0.004,0.014,0.002,0.015,0.003,0.003,0.006,0.006,0.006,0.015,0.003,0.147,0.034
MS44,156386,QS,9/5/17,-0.025,13.94,48.415,11.326,0.918,0.28,0.831,38.691,0.031,0.152,1.718,3.947,0.008,0.038,0.014,,0.251,16.117,0.015,0.08,,0.005,3.252,0.019,0.033,0.006,0.026,0.007,0.002,0.007,0.007,0.001,0.003,0,0.003,0,0.001,0.005,0.002,0.003,0.01,0.004,0.103,0.019
MS45,156389,QP,9/5/17,-0.021,15.706,99.209,18.172,2.195,0.536,3.772,100,0.07,0.309,5.604,8.414,0.02,0.048,0.007,,0.332,24.985,0.027,0.141,,0.006,5.66,0.029,0.054,0.009,0.041,0.01,0.003,0.011,0.011,0.002,0.006,0.001,0.005,0.001,0.001,0.147,0.135,0.144,0.008,0.005,0.116,0.017
MS46,156383,QG,9/5/17,-0.022,12.842,62.849,12.434,0.606,0.043,7.329,79.467,0.041,0.054,2.772,4.893,0.02,0.031,0.022,,0.816,11.103,0.004,0.035,,0.009,6.268,0.071,0.094,0.022,0.095,0.025,0.01,0.026,0.031,0.007,0.021,0.003,0.021,0.004,0.004,-0.001,-0.002,-0.001,0.006,0.006,0.160,0.027
MS47,156395,RI,9/5/17,-0.021,10.98,17.432,12.374,0.4,0.09,49.975,84.98,0.239,0.063,0.418,2.398,0.01,0.023,0.019,,0.919,16.964,0.003,0.023,,0.014,7.652,0.025,0.054,0.007,0.035,0.008,0.003,0.01,0.009,0.002,0.008,0.001,0.008,0.001,0.005,-0.012,-0.011,-0.011,0.005,0.002,0.148,0.055
